offset,Chord,NormalForm,PCsinNormalForm,file,Measure Number,Measure Count
105.5,<music21.chord.Chord G#2 E5>,"[0, 4]","[4, 8]",AlariodelRio_Sol_Sostenido.xml,18,2 3/4
106,<music21.chord.Chord C#3 E5>,"[0, 3]","[1, 4]",AlariodelRio_Sol_Sostenido.xml,18,3
106.5,<music21.chord.Chord B2 E5>,"[0, -7]","[11, 4]",AlariodelRio_Sol_Sostenido.xml,18,3 1/4
107,<music21.chord.Chord G#2>,[0],[8],AlariodelRio_Sol_Sostenido.xml,18,3 1/2
107.5,<music21.chord.Chord B2>,[0],[11],AlariodelRio_Sol_Sostenido.xml,18,3 3/4
108,<music21.chord.Chord G#3>,[0],[8],AlariodelRio_Sol_Sostenido.xml,19,1
108.5,<music21.chord.Chord G#2>,[0],[8],AlariodelRio_Sol_Sostenido.xml,19,1 1/4
109,<music21.chord.Chord F#3>,[0],[6],AlariodelRio_Sol_Sostenido.xml,19,1 1/2
109.5,<music21.chord.Chord B2>,[0],[11],AlariodelRio_Sol_Sostenido.xml,19,1 3/4
110,<music21.chord.Chord D#3>,[0],[3],AlariodelRio_Sol_Sostenido.xml,19,2
110.5,<music21.chord.Chord C#3>,[0],[1],AlariodelRio_Sol_Sostenido.xml,19,2 1/4
111,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,19,2 1/2
113.5,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,19,3 3/4
114,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,20,1
114.5,<music21.chord.Chord F#3>,[0],[6],AlariodelRio_Sol_Sostenido.xml,20,1 1/4
115,<music21.chord.Chord D#3>,[0],[3],AlariodelRio_Sol_Sostenido.xml,20,1 1/2
115.5,<music21.chord.Chord C#3>,[0],[1],AlariodelRio_Sol_Sostenido.xml,20,1 3/4
116,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,20,2
118.5,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,20,3 1/4
119,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,20,3 1/2
119.5,<music21.chord.Chord F#3>,[0],[6],AlariodelRio_Sol_Sostenido.xml,20,3 3/4
120,<music21.chord.Chord D#3>,[0],[3],AlariodelRio_Sol_Sostenido.xml,21,1
120.5,<music21.chord.Chord C#3>,[0],[1],AlariodelRio_Sol_Sostenido.xml,21,1 1/4
121,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,21,1 1/2
123.5,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,21,2 3/4
