offset,Chord,NormalForm,PCsinNormalForm,file,Composer,MeasureNumber,MeasureCount
157.375,<music21.chord.Chord E-4>,[0],[3],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
157.5,<music21.chord.Chord C#4 E-4>,"[0, 2]","[1, 3]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
157.625,<music21.chord.Chord C#4>,[0],[1],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
158.0,<music21.chord.Chord E4 B-4 C5 C4>,"[0, 2, 6]","[10, 0, 4]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
158.375,<music21.chord.Chord C4>,[0],[0],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
159.0,<music21.chord.Chord E4 B-4 C5>,"[0, 2, 6]","[10, 0, 4]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
159.5,<music21.chord.Chord G#3>,[0],[8],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
160.0,<music21.chord.Chord E4 B-4 C5 A3>,"[0, 1, 3, 7]","[9, 10, 0, 4]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
160.5,<music21.chord.Chord B-3>,[0],[10],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
161.0,<music21.chord.Chord E4 B-4 C5 C4>,"[0, 2, 6]","[10, 0, 4]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
161.5,<music21.chord.Chord C#4>,[0],[1],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
162.0,<music21.chord.Chord E4 B-4 C5 E-4>,"[0, 2, 5, 6]","[10, 0, 3, 4]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
162.5,<music21.chord.Chord E-4>,[0],[3],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
163.0,<music21.chord.Chord E4 B-4 C5 E-4>,"[0, 2, 5, 6]","[10, 0, 3, 4]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
163.5,<music21.chord.Chord C#4>,[0],[1],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
164.0,<music21.chord.Chord E4 B-4 C5 C4>,"[0, 2, 6]","[10, 0, 4]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
164.5,<music21.chord.Chord C4>,[0],[0],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
165.0,<music21.chord.Chord E4 B-4 C5>,"[0, 2, 6]","[10, 0, 4]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
