offset,Chord,Phrase Boundary,Song Beat Number,Measure Number,Measure Beat Number,NormalForm,PCsInNormalForm,GlobalScaleDegrees,HighestPitch,LowestPitch,file,Composer,LocalTonic,LocalMode,LocalSDForm_BassSD,Confidence
18.5,<music21.chord.Chord C5 G5 E-4>,,19,7,1,"[0, 3, 7]","[0, 3, 7]","[0, 3, 7]",79,63,La Cloches Sonne S248 C minor.mid,Liszt,0,minor,"[0, 3, 7]_3",0.7989156821932820
18.75,<music21.chord.Chord C5 G5 D4>,,19,7,1,"[0, 2, 7]","[0, 2, 7]","[0, 2, 7]",79,62,La Cloches Sonne S248 C minor.mid,Liszt,0,minor,"[0, 2, 7]_2",0.7989156821932820
19,<music21.chord.Chord C5 G5 C4>,2,20,7,2,"[0, 5]","[7, 0]","[7, 0]",79,60,La Cloches Sonne S248 C minor.mid,Liszt,0,minor,"[7, 0]_0",0.7989156821932820
19.5,<music21.chord.Chord C5 G5 C4>,1,20,7,2,"[0, 5]","[7, 0]","[7, 0]",79,60,La Cloches Sonne S248 C minor.mid,Liszt,0,minor,"[7, 0]_0",0.7989156821932820
20,<music21.chord.Chord C5 G5 G4>,,21,7,3,"[0, 5]","[7, 0]","[7, 0]",79,67,La Cloches Sonne S248 C minor.mid,Liszt,0,minor,"[7, 0]_7",0.7989156821932820
20.5,<music21.chord.Chord C5 G5 G4>,,21,7,3,"[0, 5]","[7, 0]","[7, 0]",79,67,La Cloches Sonne S248 C minor.mid,Liszt,0,minor,"[7, 0]_7",0.7989156821932820
20.75,<music21.chord.Chord C5 G5 E-4>,,21,7,3,"[0, 3, 7]","[0, 3, 7]","[0, 3, 7]",79,63,La Cloches Sonne S248 C minor.mid,Liszt,0,minor,"[0, 3, 7]_3",0.7989156821932820
21,<music21.chord.Chord C5 G5 C4>,,22,8,1,"[0, 5]","[7, 0]","[7, 0]",79,60,La Cloches Sonne S248 C minor.mid,Liszt,0,minor,"[7, 0]_0",0.7989156821932820
21.5,<music21.chord.Chord C5 G5 C4>,,22,8,1,"[0, 5]","[7, 0]","[7, 0]",79,60,La Cloches Sonne S248 C minor.mid,Liszt,0,minor,"[7, 0]_0",0.7989156821932820
22,<music21.chord.Chord C5 G5 C4>,,23,8,2,"[0, 5]","[7, 0]","[7, 0]",79,60,La Cloches Sonne S248 C minor.mid,Liszt,0,minor,"[7, 0]_0",0.7989156821932820
22.5,<music21.chord.Chord C5 G5 C4>,,23,8,2,"[0, 5]","[7, 0]","[7, 0]",79,60,La Cloches Sonne S248 C minor.mid,Liszt,0,minor,"[7, 0]_0",0.7989156821932820
