measureNumber,beatNumber,offset,Chord,NormalForm,PCsInNormalForm,file,Composer
21,2 2/3,63.0,<music21.chord.Chord F2 E3 A3 C4 D4>,"[0, 3, 5, 7, 8]","[9, 0, 2, 4, 5]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
22,1,63.5,<music21.chord.Chord E2 B2 E4>,"[0, 5]","[11, 4]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
22,1 1/3,64.0,<music21.chord.Chord E4>,[0],[4],Sculthorpe_Sea_Chant.mxl,Sculthorpe
22,1 2/3,64.5,<music21.chord.Chord E3 E4>,[0],[4],Sculthorpe_Sea_Chant.mxl,Sculthorpe
22,2,65.0,<music21.chord.Chord B3 E4>,"[0, 5]","[11, 4]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
22,2 2/3,66.0,<music21.chord.Chord B4>,[0],[11],Sculthorpe_Sea_Chant.mxl,Sculthorpe
23,1,66.5,<music21.chord.Chord F2 E3 A3 C4 E4>,"[0, 1, 5, 8]","[4, 5, 9, 0]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
23,2,68.0,<music21.chord.Chord F2 E3 A3 C4 E4>,"[0, 1, 5, 8]","[4, 5, 9, 0]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
23,2 2/3,69.0,<music21.chord.Chord F2 E3 A3 C4 D4>,"[0, 3, 5, 7, 8]","[9, 0, 2, 4, 5]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
24,1,69.5,<music21.chord.Chord E2 B2 E4>,"[0, 5]","[11, 4]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
24,1 2/3,70.5,<music21.chord.Chord E4>,[0],[4],Sculthorpe_Sea_Chant.mxl,Sculthorpe
24,2,71.0,<music21.chord.Chord B4 E5 B5>,"[0, 5]","[11, 4]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
25,1,72.5,<music21.chord.Chord E3 A#3 C#4 A#4>,"[0, 3, 6]","[10, 1, 4]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
25,1 2/3,73.5,<music21.chord.Chord E3 A#3 C#4 A#4>,"[0, 3, 6]","[10, 1, 4]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
25,2,74.0,<music21.chord.Chord E3 G#3 B3 G#4>,"[0, 4, 7]","[4, 8, 11]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
25,2 1/2,74.75,<music21.chord.Chord E3 G#3 B3 F#4>,"[0, 2, 4, 7]","[4, 6, 8, 11]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
25,2 2/3,75.0,<music21.chord.Chord E3 G#3 B3 G#4>,"[0, 4, 7]","[4, 8, 11]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
26,1,75.5,<music21.chord.Chord E3 A#3 C#4 A#4>,"[0, 3, 6]","[10, 1, 4]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
26,1 1/3,76.0,<music21.chord.Chord E3 A#3 C#4 F#4>,"[0, 3, 6, 8]","[10, 1, 4, 6]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
26,2,77.0,<music21.chord.Chord E3 G#3 B3 G#4>,"[0, 4, 7]","[4, 8, 11]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
26,2 2/3,78.0,<music21.chord.Chord E3 G#3 B3 G#4>,"[0, 4, 7]","[4, 8, 11]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
27,1,78.5,<music21.chord.Chord E3 A#3 C#4 D#5>,"[0, 3, 5, 6]","[10, 1, 3, 4]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
27,1 1/2,79.25,<music21.chord.Chord E3 A#3 C#4 C#5>,"[0, 3, 6]","[10, 1, 4]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
27,1 2/3,79.5,<music21.chord.Chord E3 A#3 C#4 D#5>,"[0, 3, 5, 6]","[10, 1, 3, 4]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
27,2,80.0,<music21.chord.Chord E3 G#3 B3 B4>,"[0, 4, 7]","[4, 8, 11]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
27,2 2/3,81.0,<music21.chord.Chord E3 G#3 B3 A#4>,"[0, 4, 6, 7]","[4, 8, 10, 11]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
28,1,81.5,<music21.chord.Chord E3 A#3 C#4 C#5>,"[0, 3, 6]","[10, 1, 4]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
28,2,83.0,<music21.chord.Chord F#3 C#5>,"[0, 5]","[1, 6]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
28,2 1/3,83.5,<music21.chord.Chord C#5>,[0],[1],Sculthorpe_Sea_Chant.mxl,Sculthorpe
28,2 2/3,84.0,<music21.chord.Chord B4>,[0],[11],Sculthorpe_Sea_Chant.mxl,Sculthorpe
29,1,84.5,<music21.chord.Chord E3 A#3 C#4 A#4>,"[0, 3, 6]","[10, 1, 4]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
29,1 2/3,85.5,<music21.chord.Chord E3 A#3 C#4 A#4>,"[0, 3, 6]","[10, 1, 4]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
29,2,86.0,<music21.chord.Chord E3 G#3 B3 G4>,"[0, 3, 4, 7]","[4, 7, 8, 11]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
29,2 1/2,86.75,<music21.chord.Chord E3 G#3 B3 F#4>,"[0, 2, 4, 7]","[4, 6, 8, 11]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
29,2 2/3,87.0,<music21.chord.Chord E3 G#3 B3 G4>,"[0, 3, 4, 7]","[4, 7, 8, 11]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
30,1,87.5,<music21.chord.Chord E3 A#3 C#4 A#4>,"[0, 3, 6]","[10, 1, 4]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
