offset,Chord,NormalForm,PCsinNormalForm,file,Phrase Boundary,Measure Number,Measure Count
38.0,<music21.chord.Chord C#6 G5 B2 F#3>,"[0, 1, 5, 7]","[6, 7, 11, 1]",Humoresque in B Op101No2 B major.mid,,20,1
38.25,<music21.chord.Chord E-6 G5 B2 F#3>,"[0, 4, 7, 8]","[11, 3, 6, 7]",Humoresque in B Op101No2 B major.mid,,20,1
38.5,<music21.chord.Chord E6 G#5 B2 F#3>,"[0, 2, 4, 7]","[4, 6, 8, 11]",Humoresque in B Op101No2 B major.mid,,20,1
38.75,<music21.chord.Chord E-6 G#5 B2 F#3>,"[0, 3, 5, 8]","[3, 6, 8, 11]",Humoresque in B Op101No2 B major.mid,,20,1
39.0,<music21.chord.Chord G#5 E-6 E-5 B2>,"[0, 3, 7]","[8, 11, 3]",Humoresque in B Op101No2 B major.mid,,20,2
39.25,<music21.chord.Chord G#5 E-6 E-5 E3>,"[0, 1, 5]","[3, 4, 8]",Humoresque in B Op101No2 B major.mid,,20,2
39.375,<music21.chord.Chord G#5 E-6 E-5 G3 E3>,"[0, 1, 4, 5]","[3, 4, 7, 8]",Humoresque in B Op101No2 B major.mid,,20,2
39.5,<music21.chord.Chord G#5 E-6 E-5 G3>,"[0, 4, 5]","[3, 7, 8]",Humoresque in B Op101No2 B major.mid,,20,2
39.625,<music21.chord.Chord G#5 E-6 E-5 E4>,"[0, 1, 5]","[3, 4, 8]",Humoresque in B Op101No2 B major.mid,,20,2
39.75,<music21.chord.Chord G#5 E-6 E-5 G4 E4>,"[0, 1, 4, 5]","[3, 4, 7, 8]",Humoresque in B Op101No2 B major.mid,,20,2
39.875,<music21.chord.Chord G#5 E-6 E-5 G4>,"[0, 4, 5]","[3, 7, 8]",Humoresque in B Op101No2 B major.mid,2,20,2
41.0,<music21.chord.Chord E-6 F#5 B2 F#3>,"[0, 4, 7]","[11, 3, 6]",Humoresque in B Op101No2 B major.mid,1,21,2
41.5,<music21.chord.Chord F#6 E-5 B2 F#3>,"[0, 4, 7]","[11, 3, 6]",Humoresque in B Op101No2 B major.mid,,21,2
41.75,<music21.chord.Chord F#4 B4>,"[0, 5]","[6, 11]",Humoresque in B Op101No2 B major.mid,,21,2
41.875,<music21.chord.Chord B3 F#4>,"[0, 5]","[6, 11]",Humoresque in B Op101No2 B major.mid,,21,2
42.0,<music21.chord.Chord B5 E5 B3 F#4>,"[0, 2, 7]","[4, 6, 11]",Humoresque in B Op101No2 B major.mid,,22,1
42.5,<music21.chord.Chord F#5 B3 F#4>,"[0, 5]","[6, 11]",Humoresque in B Op101No2 B major.mid,,22,1
43.0,<music21.chord.Chord C#6 G5 B2 F#3>,"[0, 1, 5, 7]","[6, 7, 11, 1]",Humoresque in B Op101No2 B major.mid,,22,2
43.25,<music21.chord.Chord E-6 G5 B2 F#3>,"[0, 4, 7, 8]","[11, 3, 6, 7]",Humoresque in B Op101No2 B major.mid,,22,2
43.5,<music21.chord.Chord E6 G#5 B2 F#3>,"[0, 2, 4, 7]","[4, 6, 8, 11]",Humoresque in B Op101No2 B major.mid,,22,2
43.75,<music21.chord.Chord E-6 G#5 F#4 B4>,"[0, 3, 5, 8]","[3, 6, 8, 11]",Humoresque in B Op101No2 B major.mid,,22,2
43.875,<music21.chord.Chord E-6 G#5 B3 F#4>,"[0, 3, 5, 8]","[3, 6, 8, 11]",Humoresque in B Op101No2 B major.mid,,22,2
44.0,<music21.chord.Chord E-6 G5 B3 F#4>,"[0, 4, 7, 8]","[11, 3, 6, 7]",Humoresque in B Op101No2 B major.mid,,23,1
44.5,<music21.chord.Chord E-6 F#5 B3 F#4>,"[0, 4, 7]","[11, 3, 6]",Humoresque in B Op101No2 B major.mid,,23,1
44.875,<music21.chord.Chord E-6 F#5>,"[0, 3]","[3, 6]",Humoresque in B Op101No2 B major.mid,,23,1
45.0,<music21.chord.Chord E-6 F#5 B2 F#3>,"[0, 4, 7]","[11, 3, 6]",Humoresque in B Op101No2 B major.mid,,23,2
45.5,<music21.chord.Chord F#6 E-5 B2 F#3>,"[0, 4, 7]","[11, 3, 6]",Humoresque in B Op101No2 B major.mid,,23,2
45.75,<music21.chord.Chord F#4 B4>,"[0, 5]","[6, 11]",Humoresque in B Op101No2 B major.mid,,23,2
45.875,<music21.chord.Chord B3 F#4>,"[0, 5]","[6, 11]",Humoresque in B Op101No2 B major.mid,,23,2
46.0,<music21.chord.Chord B5 E5 B3 F#4>,"[0, 2, 7]","[4, 6, 11]",Humoresque in B Op101No2 B major.mid,,24,1
46.5,<music21.chord.Chord F#5 B3 F#4>,"[0, 5]","[6, 11]",Humoresque in B Op101No2 B major.mid,,24,1
47.0,<music21.chord.Chord C#6 C#5 G#5 E3 B2>,"[0, 3, 5, 8]","[8, 11, 1, 4]",Humoresque in B Op101No2 B major.mid,,24,2
