offset,Chord,NormalForm,PCsinNormalForm,file,PhraseBoundary,MeasureNumber,MeasureCount
72.33333333333330,<music21.chord.Chord B3 E5 G#4 E4 B4 G#3>,"[0, 4, 7]","[4, 8, 11]",Prelude in C#- Op3No2 C#-.mid,,,
72.45833333333330,<music21.chord.Chord E5 G#4 E4 B4 G#3>,"[0, 4, 7]","[4, 8, 11]",Prelude in C#- Op3No2 C#-.mid,,,
72.5,<music21.chord.Chord E5 G#3 B4>,"[0, 4, 7]","[4, 8, 11]",Prelude in C#- Op3No2 C#-.mid,,,
72.58333333333330,<music21.chord.Chord E5 G#3>,"[0, 4]","[4, 8]",Prelude in C#- Op3No2 C#-.mid,,,
73.25,<music21.chord.Chord F#5 F#4 C#5 A4 C#4 A3>,"[0, 3, 7]","[6, 9, 1]",Prelude in C#- Op3No2 C#-.mid,,,
73.5,<music21.chord.Chord F#5 F#4 C#5>,"[0, 5]","[1, 6]",Prelude in C#- Op3No2 C#-.mid,,,
74.125,<music21.chord.Chord E-5 A4 E-4 F#4 F#3 A3>,"[0, 3, 6]","[3, 6, 9]",Prelude in C#- Op3No2 C#-.mid,,,
74.25,<music21.chord.Chord E-5 A4 E-4 F#4 F#3>,"[0, 3, 6]","[3, 6, 9]",Prelude in C#- Op3No2 C#-.mid,,,
74.45833333333330,<music21.chord.Chord E-5 A4>,"[0, 6]","[3, 9]",Prelude in C#- Op3No2 C#-.mid,,,
75.0,<music21.chord.Chord G#4 E4 E5 G#3>,"[0, 4]","[4, 8]",Prelude in C#- Op3No2 C#-.mid,,,
75.125,<music21.chord.Chord B4 B3 G#4 E4 E5 G#3>,"[0, 4, 7]","[4, 8, 11]",Prelude in C#- Op3No2 C#-.mid,,,
75.625,<music21.chord.Chord B3>,[0],[11],Prelude in C#- Op3No2 C#-.mid,,,
76.125,<music21.chord.Chord G#4 E5 B4 E4 B3 G#3>,"[0, 4, 7]","[4, 8, 11]",Prelude in C#- Op3No2 C#-.mid,,,
76.375,<music21.chord.Chord G#4 E5 B4 G#3>,"[0, 4, 7]","[4, 8, 11]",Prelude in C#- Op3No2 C#-.mid,,,
76.45833333333330,<music21.chord.Chord G#3>,[0],[8],Prelude in C#- Op3No2 C#-.mid,,,
77.0,<music21.chord.Chord F#5 C#5 F#4 A4 C#4>,"[0, 3, 7]","[6, 9, 1]",Prelude in C#- Op3No2 C#-.mid,,,
77.125,<music21.chord.Chord A3 F#5 C#5 F#4 A4 C#4>,"[0, 3, 7]","[6, 9, 1]",Prelude in C#- Op3No2 C#-.mid,,,
77.33333333333330,<music21.chord.Chord F#5 C#5 F#4 A3>,"[0, 3, 7]","[6, 9, 1]",Prelude in C#- Op3No2 C#-.mid,,,
77.45833333333330,<music21.chord.Chord F#5 C#5 F#4>,"[0, 5]","[1, 6]",Prelude in C#- Op3No2 C#-.mid,,,
77.5,<music21.chord.Chord F#4>,[0],[6],Prelude in C#- Op3No2 C#-.mid,,,
78.0,<music21.chord.Chord E-5 E-4 F#4 F#3 A4 A3>,"[0, 3, 6]","[3, 6, 9]",Prelude in C#- Op3No2 C#-.mid,,,
78.125,<music21.chord.Chord E-5 E-4 F#4 F#3 A4>,"[0, 3, 6]","[3, 6, 9]",Prelude in C#- Op3No2 C#-.mid,,,
78.25,<music21.chord.Chord E-5 A4>,"[0, 6]","[3, 9]",Prelude in C#- Op3No2 C#-.mid,,,
78.375,<music21.chord.Chord E-5>,[0],[3],Prelude in C#- Op3No2 C#-.mid,,,
78.875,<music21.chord.Chord G#4 E4 B3 E5 G#3 B4>,"[0, 4, 7]","[4, 8, 11]",Prelude in C#- Op3No2 C#-.mid,,,
79.125,<music21.chord.Chord E5 G#3 B4>,"[0, 4, 7]","[4, 8, 11]",Prelude in C#- Op3No2 C#-.mid,,,
79.20833333333330,<music21.chord.Chord B4>,[0],[11],Prelude in C#- Op3No2 C#-.mid,,,
79.66666666666670,<music21.chord.Chord C#5>,[0],[1],Prelude in C#- Op3No2 C#-.mid,,,
79.75,<music21.chord.Chord G#3 C#4 E3 E4 G#4 C#5>,"[0, 3, 7]","[1, 4, 8]",Prelude in C#- Op3No2 C#-.mid,,,
80.0,<music21.chord.Chord C#5 G#4>,"[0, 5]","[8, 1]",Prelude in C#- Op3No2 C#-.mid,,,
80.16666666666670,<music21.chord.Chord G#4>,[0],[8],Prelude in C#- Op3No2 C#-.mid,,,
80.625,<music21.chord.Chord E-5 A3 E-4 F#3 A4 F#4>,"[0, 3, 6]","[3, 6, 9]",Prelude in C#- Op3No2 C#-.mid,,,
81.0,<music21.chord.Chord E-5 A3 E-4 F#3>,"[0, 3, 6]","[3, 6, 9]",Prelude in C#- Op3No2 C#-.mid,,,
81.625,<music21.chord.Chord C5 E-4 C4>,"[0, 3]","[0, 3]",Prelude in C#- Op3No2 C#-.mid,,,
81.66666666666670,<music21.chord.Chord F#4 E-3 C5 E-4 C4>,"[0, 3, 6]","[0, 3, 6]",Prelude in C#- Op3No2 C#-.mid,,,
81.75,<music21.chord.Chord F#3 C5 E-4 C4 F#4 E-3>,"[0, 3, 6]","[0, 3, 6]",Prelude in C#- Op3No2 C#-.mid,,,
82.125,<music21.chord.Chord C5 E-4 F#4 E-3 F#3>,"[0, 3, 6]","[0, 3, 6]",Prelude in C#- Op3No2 C#-.mid,,,
82.25,<music21.chord.Chord C5 E-4 F#4 E-3>,"[0, 3, 6]","[0, 3, 6]",Prelude in C#- Op3No2 C#-.mid,,,
82.375,<music21.chord.Chord F#4 E-3>,"[0, 3]","[3, 6]",Prelude in C#- Op3No2 C#-.mid,,,
82.41666666666670,<music21.chord.Chord E-3>,[0],[3],Prelude in C#- Op3No2 C#-.mid,,,
82.75,<music21.chord.Chord C#5 C#4 G#3 E4 G#4>,"[0, 3, 7]","[1, 4, 8]",Prelude in C#- Op3No2 C#-.mid,,,
