measureNumber,beatNumber,offset,Chord,NormalForm,PCsInNormalForm,file,Composer
17,2 3/4,99.5,<music21.chord.Chord F#3 E5>,"[0, 2]","[4, 6]",AlariodelRio_PianoPieceNo8.xml,AlariodelRio
17,3,100.0,<music21.chord.Chord D#3 E5>,"[0, 1]","[3, 4]",AlariodelRio_PianoPieceNo8.xml,AlariodelRio
17,3 1/4,100.5,<music21.chord.Chord D#3 E5>,"[0, 1]","[3, 4]",AlariodelRio_PianoPieceNo8.xml,AlariodelRio
17,3 1/2,101.0,<music21.chord.Chord B2 E5>,"[0, 5]","[11, 4]",AlariodelRio_PianoPieceNo8.xml,AlariodelRio
17,3 3/4,101.5,<music21.chord.Chord A#2 E5>,"[0, 6]","[4, 10]",AlariodelRio_PianoPieceNo8.xml,AlariodelRio
18,1,102.0,<music21.chord.Chord F#3 E5>,"[0, 2]","[4, 6]",AlariodelRio_PianoPieceNo8.xml,AlariodelRio
18,1 1/4,102.5,<music21.chord.Chord E3 E5>,[0],[4],AlariodelRio_PianoPieceNo8.xml,AlariodelRio
18,1 1/2,103.0,<music21.chord.Chord E5>,[0],[4],AlariodelRio_PianoPieceNo8.xml,AlariodelRio
18,2 1/2,105.0,<music21.chord.Chord F#3 E5>,"[0, 2]","[4, 6]",AlariodelRio_PianoPieceNo8.xml,AlariodelRio
18,2 3/4,105.5,<music21.chord.Chord G#2 E5>,"[0, 4]","[4, 8]",AlariodelRio_PianoPieceNo8.xml,AlariodelRio
18,3,106.0,<music21.chord.Chord C#3 E5>,"[0, 3]","[1, 4]",AlariodelRio_PianoPieceNo8.xml,AlariodelRio
18,3 1/4,106.5,<music21.chord.Chord B2 E5>,"[0, 5]","[11, 4]",AlariodelRio_PianoPieceNo8.xml,AlariodelRio
18,3 1/2,107.0,<music21.chord.Chord G#2>,[0],[8],AlariodelRio_PianoPieceNo8.xml,AlariodelRio
18,3 3/4,107.5,<music21.chord.Chord B2>,[0],[11],AlariodelRio_PianoPieceNo8.xml,AlariodelRio
19,1,108.0,<music21.chord.Chord G#3>,[0],[8],AlariodelRio_PianoPieceNo8.xml,AlariodelRio
19,1 1/4,108.5,<music21.chord.Chord G#2>,[0],[8],AlariodelRio_PianoPieceNo8.xml,AlariodelRio
19,1 1/2,109.0,<music21.chord.Chord F#3>,[0],[6],AlariodelRio_PianoPieceNo8.xml,AlariodelRio
19,1 3/4,109.5,<music21.chord.Chord B2>,[0],[11],AlariodelRio_PianoPieceNo8.xml,AlariodelRio
19,2,110.0,<music21.chord.Chord D#3>,[0],[3],AlariodelRio_PianoPieceNo8.xml,AlariodelRio
19,2 1/4,110.5,<music21.chord.Chord C#3>,[0],[1],AlariodelRio_PianoPieceNo8.xml,AlariodelRio
19,2 1/2,111.0,<music21.chord.Chord E3>,[0],[4],AlariodelRio_PianoPieceNo8.xml,AlariodelRio
19,3 3/4,113.5,<music21.chord.Chord E3>,[0],[4],AlariodelRio_PianoPieceNo8.xml,AlariodelRio
20,1,114.0,<music21.chord.Chord E3>,[0],[4],AlariodelRio_PianoPieceNo8.xml,AlariodelRio
20,1 1/4,114.5,<music21.chord.Chord F#3>,[0],[6],AlariodelRio_PianoPieceNo8.xml,AlariodelRio
20,1 1/2,115.0,<music21.chord.Chord D#3>,[0],[3],AlariodelRio_PianoPieceNo8.xml,AlariodelRio
20,1 3/4,115.5,<music21.chord.Chord C#3>,[0],[1],AlariodelRio_PianoPieceNo8.xml,AlariodelRio
20,2,116.0,<music21.chord.Chord E3>,[0],[4],AlariodelRio_PianoPieceNo8.xml,AlariodelRio
20,3 1/4,118.5,<music21.chord.Chord E3>,[0],[4],AlariodelRio_PianoPieceNo8.xml,AlariodelRio
20,3 1/2,119.0,<music21.chord.Chord E3>,[0],[4],AlariodelRio_PianoPieceNo8.xml,AlariodelRio
20,3 3/4,119.5,<music21.chord.Chord F#3>,[0],[6],AlariodelRio_PianoPieceNo8.xml,AlariodelRio
21,1,120.0,<music21.chord.Chord D#3>,[0],[3],AlariodelRio_PianoPieceNo8.xml,AlariodelRio
21,1 1/4,120.5,<music21.chord.Chord C#3>,[0],[1],AlariodelRio_PianoPieceNo8.xml,AlariodelRio
21,1 1/2,121.0,<music21.chord.Chord E3>,[0],[4],AlariodelRio_PianoPieceNo8.xml,AlariodelRio
21,2 3/4,123.5,<music21.chord.Chord E3>,[0],[4],AlariodelRio_PianoPieceNo8.xml,AlariodelRio
21,3,124.0,<music21.chord.Chord E3>,[0],[4],AlariodelRio_PianoPieceNo8.xml,AlariodelRio
21,3 1/4,124.5,<music21.chord.Chord F#3>,[0],[6],AlariodelRio_PianoPieceNo8.xml,AlariodelRio
21,3 1/2,125.0,<music21.chord.Chord D#3>,[0],[3],AlariodelRio_PianoPieceNo8.xml,AlariodelRio
21,3 3/4,125.5,<music21.chord.Chord D#3>,[0],[3],AlariodelRio_PianoPieceNo8.xml,AlariodelRio
