Offset,Chord,Normal Form,PCsinNormalForm,file,Phrase Boundary,Song Count,Measure Number,Measure Count
167.0,<music21.chord.Chord F#3 B3 E-4 E-2>,"[0, 4, 7]","[11, 3, 6]",Children's Corner 113 6 Eb Major.mid,,168,84,2
167.5,<music21.chord.Chord F#3 B3 E-4 C#2>,"[0, 2, 4, 7]","[11, 1, 3, 6]",Children's Corner 113 6 Eb Major.mid,,168,84,2
168.75,<music21.chord.Chord B-4 F#3 B3 E-4 C#2>,"[0, 1, 3, 5, 8]","[10, 11, 1, 3, 6]",Children's Corner 113 6 Eb Major.mid,,169,85,1
169.0,<music21.chord.Chord G#4 F#3 B3 E-4 C#2>,"[0, 2, 4, 7, 9]","[11, 1, 3, 6, 8]",Children's Corner 113 6 Eb Major.mid,,170,85,2
169.125,<music21.chord.Chord F#3 B3 E-4 C#2>,"[0, 2, 4, 7]","[11, 1, 3, 6]",Children's Corner 113 6 Eb Major.mid,,170,85,2
169.5,<music21.chord.Chord B-4 F#3 B3 E-4 C#2>,"[0, 1, 3, 5, 8]","[10, 11, 1, 3, 6]",Children's Corner 113 6 Eb Major.mid,,170,85,2
169.625,<music21.chord.Chord F#3 B3 E-4 C#2>,"[0, 2, 4, 7]","[11, 1, 3, 6]",Children's Corner 113 6 Eb Major.mid,,170,85,2
170.75,<music21.chord.Chord B-4 F#3 B3 E-4 C#2>,"[0, 1, 3, 5, 8]","[10, 11, 1, 3, 6]",Children's Corner 113 6 Eb Major.mid,,171,86,1
171.0,<music21.chord.Chord G#4 F#3 B3 E-4 C#2>,"[0, 2, 4, 7, 9]","[11, 1, 3, 6, 8]",Children's Corner 113 6 Eb Major.mid,,172,86,2
171.125,<music21.chord.Chord F#3 B3 E-4 C#2>,"[0, 2, 4, 7]","[11, 1, 3, 6]",Children's Corner 113 6 Eb Major.mid,,172,86,2
171.5,<music21.chord.Chord B-4 F#3 B3 E-4 C#2>,"[0, 1, 3, 5, 8]","[10, 11, 1, 3, 6]",Children's Corner 113 6 Eb Major.mid,,172,86,2
171.625,<music21.chord.Chord F#3 B3 E-4 C#2>,"[0, 2, 4, 7]","[11, 1, 3, 6]",Children's Corner 113 6 Eb Major.mid,,172,86,2
172.0,<music21.chord.Chord B3 C#4 F#3 B-2>,"[0, 4, 5, 7]","[6, 10, 11, 1]",Children's Corner 113 6 Eb Major.mid,,173,87,1
172.25,<music21.chord.Chord B3 C#4 F#3 C#3>,"[0, 2, 7]","[11, 1, 6]",Children's Corner 113 6 Eb Major.mid,,173,87,1
172.75,<music21.chord.Chord B3 C#4 F#3 B-2>,"[0, 4, 5, 7]","[6, 10, 11, 1]",Children's Corner 113 6 Eb Major.mid,,173,87,1
173.0,<music21.chord.Chord B3 C#4 F#3 C#2>,"[0, 2, 7]","[11, 1, 6]",Children's Corner 113 6 Eb Major.mid,,174,87,2
