offset,Chord,NormalForm,PCsinNormalForm,file,PhraseBoundary,MeasureNumber,MeasureCount
64.0,<music21.chord.Chord E-4>,[0],[3],Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
64.5,<music21.chord.Chord B-4 E-3>,"[0, 5]","[10, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
65.0,<music21.chord.Chord C#4 E4 B-4 G3 E-3>,"[0, 3, 6, 8, 9]","[7, 10, 1, 3, 4]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
65.5,<music21.chord.Chord G#4 C#4 E4 G#3 E-3 G3>,"[0, 2, 3, 6, 7]","[1, 3, 4, 7, 8]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
65.875,<music21.chord.Chord G#4 E-3 G3 G#3>,"[0, 4, 5]","[3, 7, 8]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
66.0,<music21.chord.Chord G#4 B3 E-3>,"[0, 3, 7]","[8, 11, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
66.5,<music21.chord.Chord C#4 E4 G#4 B3 E-3>,"[0, 3, 5, 7, 8]","[8, 11, 1, 3, 4]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
67.0,<music21.chord.Chord C#4 E4 G#4 B3 E-3>,"[0, 3, 5, 7, 8]","[8, 11, 1, 3, 4]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
67.5,<music21.chord.Chord G4 B-3 E-3>,"[0, 4, 7]","[3, 7, 10]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
68.0,<music21.chord.Chord C#4 F#4 G4 B-3 E-3>,"[0, 3, 5, 8, 9]","[10, 1, 3, 6, 7]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
68.5,<music21.chord.Chord C#4 F#4 G4 B-3 E-3>,"[0, 3, 5, 8, 9]","[10, 1, 3, 6, 7]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
69.0,<music21.chord.Chord C#4 F#4 G4 B-3 E-3>,"[0, 3, 5, 8, 9]","[10, 1, 3, 6, 7]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
69.5,<music21.chord.Chord C#4 F#4 G4 B-3 E-3>,"[0, 3, 5, 8, 9]","[10, 1, 3, 6, 7]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
70.0,<music21.chord.Chord C#4 F#4 G4 E-3>,"[0, 2, 5, 6]","[1, 3, 6, 7]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
70.5,<music21.chord.Chord G4 B-3 E-3>,"[0, 4, 7]","[3, 7, 10]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
71.0,<music21.chord.Chord C#4 E4 G4 E-3 B-3>,"[0, 3, 6, 8, 9]","[7, 10, 1, 3, 4]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
