offset,Chord,NormalForm,PCsinNormalForm,file,Phrase Boundary,Measure Number,Measure Count
23.0,<music21.chord.Chord D4 B-2 F3>,"[0, 4, 7]","[10, 2, 5]",Romanian Folk Dances 2 Braul D minor.mid,,12,2
23.25,<music21.chord.Chord D4>,[0],[2],Romanian Folk Dances 2 Braul D minor.mid,,12,2
24.0,<music21.chord.Chord D4 G2>,"[0, 5]","[2, 7]",Romanian Folk Dances 2 Braul D minor.mid,,13,1
24.125,<music21.chord.Chord G2>,[0],[7],Romanian Folk Dances 2 Braul D minor.mid,,13,1
24.5,<music21.chord.Chord E4>,[0],[4],Romanian Folk Dances 2 Braul D minor.mid,,13,1
25.0,<music21.chord.Chord F4 D3 B3>,"[0, 3, 6]","[11, 2, 5]",Romanian Folk Dances 2 Braul D minor.mid,,13,2
25.125,<music21.chord.Chord D3 B3>,"[0, 3]","[11, 2]",Romanian Folk Dances 2 Braul D minor.mid,,13,2
25.5,<music21.chord.Chord A4>,[0],[9],Romanian Folk Dances 2 Braul D minor.mid,,13,2
26.0,<music21.chord.Chord G4 A2>,"[0, 2]","[7, 9]",Romanian Folk Dances 2 Braul D minor.mid,,14,1
26.125,<music21.chord.Chord A2>,[0],[9],Romanian Folk Dances 2 Braul D minor.mid,,14,1
26.5,<music21.chord.Chord F4>,[0],[5],Romanian Folk Dances 2 Braul D minor.mid,,14,1
27.0,<music21.chord.Chord E4 G3 C#4>,"[0, 3, 6]","[1, 4, 7]",Romanian Folk Dances 2 Braul D minor.mid,,14,2
27.125,<music21.chord.Chord G3 C#4>,"[0, 6]","[1, 7]",Romanian Folk Dances 2 Braul D minor.mid,,14,2
27.5,<music21.chord.Chord F4>,[0],[5],Romanian Folk Dances 2 Braul D minor.mid,,14,2
28.0,<music21.chord.Chord D4 D2>,[0],[2],Romanian Folk Dances 2 Braul D minor.mid,,15,1
29.0,<music21.chord.Chord D4 D3 F3 A3>,"[0, 3, 7]","[2, 5, 9]",Romanian Folk Dances 2 Braul D minor.mid,,15,2
29.125,<music21.chord.Chord D3 F3 A3>,"[0, 3, 7]","[2, 5, 9]",Romanian Folk Dances 2 Braul D minor.mid,,15,2
29.75,<music21.chord.Chord A3>,[0],[9],Romanian Folk Dances 2 Braul D minor.mid,,15,2
30.0,<music21.chord.Chord D4 D3 F3 A3>,"[0, 3, 7]","[2, 5, 9]",Romanian Folk Dances 2 Braul D minor.mid,,16,1
30.5,<music21.chord.Chord D4>,[0],[2],Romanian Folk Dances 2 Braul D minor.mid,2,16,1
32.0,<music21.chord.Chord D4 D2>,[0],[2],Romanian Folk Dances 2 Braul D minor.mid,1,17,1
32.125,<music21.chord.Chord D2>,[0],[2],Romanian Folk Dances 2 Braul D minor.mid,,17,1
32.5,<music21.chord.Chord E4>,[0],[4],Romanian Folk Dances 2 Braul D minor.mid,,17,1
33.0,<music21.chord.Chord F4 F3 A3>,"[0, 4]","[5, 9]",Romanian Folk Dances 2 Braul D minor.mid,,17,2
33.125,<music21.chord.Chord F3 A3>,"[0, 4]","[5, 9]",Romanian Folk Dances 2 Braul D minor.mid,,17,2
33.5,<music21.chord.Chord G4>,[0],[7],Romanian Folk Dances 2 Braul D minor.mid,,17,2
34.0,<music21.chord.Chord A4 D2>,"[0, 5]","[9, 2]",Romanian Folk Dances 2 Braul D minor.mid,,18,1
34.125,<music21.chord.Chord D2>,[0],[2],Romanian Folk Dances 2 Braul D minor.mid,,18,1
34.5,<music21.chord.Chord G4>,[0],[7],Romanian Folk Dances 2 Braul D minor.mid,,18,1
35.0,<music21.chord.Chord D4 G3 B3>,"[0, 4, 7]","[7, 11, 2]",Romanian Folk Dances 2 Braul D minor.mid,,18,2
